,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,address,chainCode,city,latitude,longitude,anchor_latitude,anchor_longitude,hasServiceFee,serviceFeeAmount(%),updateDate,tags
0,老先覺功夫窯燒鍋 (礁溪溫泉MiNi店),a8ql,3,"['火鍋', '台式']",False,19.0,79.0,40.0,10.0,2.639,1528,(△) 宜蘭縣礁溪鄉溫泉路15號,apu3,Yilan County,24.82733295,121.77476675,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""FEAT"", ""text"": ""NEXTGEN_FEATURED_TAG""}, {""code"": ""DEAL"", ""text"": ""滿 $150 折 $30""}]"
1,瑞麟美而美早餐 (晨美早餐屋),sopo,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.008,2256,(△)宜蘭縣礁溪鄉礁溪路五段10號,y3zo,Yilan County,24.82446695,121.77084246,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""FEAT"", ""text"": ""NEXTGEN_FEATURED_TAG""}, {""code"": ""DEAL"", ""text"": ""滿 $100 享 9 折""}, {""code"": ""SUPER_VENDOR"", ""text"": ""NEXTGEN_SUPER_VENDOR""}]"
2,肯德基KFC炸雞漢堡店 (宜蘭礁溪店),zjln,3,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,40.0,15.0,2.916,2473,(X)宜蘭縣礁溪鄉礁溪路五段67號,z7om,Yilan County,24.8274583,121.7720132,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""FEAT"", ""text"": ""NEXTGEN_FEATURED_TAG""}, {""code"": ""DEAL"", ""text"": ""川麻湘辣紙包雞套餐75折""}]"
3,玉膳房手工豆花 (宜蘭礁溪店),js17,2,"['甜點', '豆花']",False,19.0,79.0,40.0,15.0,3.006,72,(△)宜蘭縣礁溪鄉礁溪路五段10號,js17,Yilan County,24.82445205,121.770868,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""FEAT"", ""text"": ""NEXTGEN_FEATURED_TAG""}, {""code"": ""DEAL"", ""text"": ""滿 $200 享 9 折""}]"
4,八方雲集 (宜蘭礁溪店),e0lt,1,"['台式', '餃子']",False,19.0,79.0,40.0,10.0,2.966,4337,(O) 宜蘭縣礁溪鄉中山路一段233號,zpsa,Yilan County,24.8226029,121.7712926,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""SUPER_VENDOR"", ""text"": ""NEXTGEN_SUPER_VENDOR""}]"
5,礁溪鐘氏肉羹,g3vi,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,2.907,1437,(△)宜蘭縣礁溪鄉中山路二段19號,g3vi,Yilan County,24.8240518,121.77183907,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""SUPER_VENDOR"", ""text"": ""NEXTGEN_SUPER_VENDOR""}]"
6,礁溪大碗公牛肉麵,b1fi,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,10.0,3.07,4179,(△) 宜蘭縣礁溪鄉礁溪路四段172號,b1fi,Yilan County,24.82287136,121.77024442,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
7,麥當勞 (S397 宜蘭礁溪店),u3pp,2,"['漢堡', '歐美']",False,19.0,79.0,40.0,15.0,3.078,12192,(X)宜蘭縣礁溪鄉礁溪路四段158號,y0om,Yilan County,24.82263851,121.77017544,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
8,小龍湯包 (宜蘭礁溪店),v2pj,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.051,4442,(△)宜蘭縣礁溪鄉礁溪路四段180號,u9gi,Yilan County,24.8230761,121.770429,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""SUPER_VENDOR"", ""text"": ""NEXTGEN_SUPER_VENDOR""}]"
9,金佳香烤肉飯,oznj,2,['台式'],False,19.0,79.0,40.0,15.0,2.905,623,(△)宜蘭縣礁溪鄉中山路二段23號,oznj,Yilan County,24.8241844,121.7718562,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $200 享 9 折""}]"
