title,uuid,disclaimerBadge,popular_uuid,opening_hous
八方雲集 新店碧潭店,af8efba1-63dc-42b8-a18d-121250edfd76,{'text': '<span>[本店開立紙本發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：F-170472679-00454-8 / 公司名稱：碧潭八方雲集小吃店 / 統一編號：49936126)</span>'},"['bf22015a-e04b-53fd-88d4-f702e8377cfe', '6c748e96-4e5d-5fef-9ce8-96a8a5392efa', '07d23f30-51c8-5422-88f2-6d17c85c4e68', 'b178eee7-4bd0-55b7-a9a6-0117764db1b2', '20156941-382a-47f7-9cf8-808327338f2b']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]"
鼎上鴨肉羹,1125cc44-42b0-51a0-adce-5db32cb9db91,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：N-202206452-00000-6 / 公司名稱：鼎上鴨肉羹)</span>'},"['ec4a6c43-88f5-4457-b2ba-11385c1b7b1e', 'c009413f-5c1e-4e68-9e32-f3fafe7add0d', '9770c553-9bfa-43d4-9012-d40eef295f47', 'e69e7b60-5fcb-442d-9fb6-babc43f4aec2', '0796ec93-5f8c-4897-ad3a-8811b5e914f3']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '20:30'}]"
甜屋義大利麵,f065cbc4-bc12-552c-bd5a-f807e012a7d8,{'text': '<span>[本店免開統一發票] 本店牛肉來源:澳洲/豬肉:台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：G-200245192-00000-8 / 公司名稱：田田屋義大利麵農權路)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '20:30'}]"
女巫麵食館,fc906932-a048-5bb9-b171-0f3c07c30ffb,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：D-200236012-00000-6 / 公司名稱：女巫麵食館)</span>'},"['70ea3986-9fe3-4093-b0ef-4d35f39bef2e', 'f53c051c-ce19-42ae-a0c3-cedad70a497b', '1fa5d1aa-0c4e-4912-a7d1-fa088287b71e', '438cbfc8-3f04-4734-b2ea-931272186d1a', 'b22c16ff-3b77-4b8f-9358-847190a79cdc', '181a7482-186e-457f-99bf-9e863a4df1c2']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '13:30', 'closes': '23:59'}]"
台灣壽司郎 基隆站前店,eaba4bac-f0a4-5c2e-bfac-5c045b0c6d25,{'text': '<span>[本店開立紙本發票] 本店牛肉來源：美國 ／ 豬肉來源：西班牙 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：台灣壽司郎股份有限公司 / 統一編號：52929520)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]"
初炉手作烘焙坊,5b988b7f-7460-5500-90a5-50de9cd84763,{'text': '<span>[本店開立紙本發票] (公司名稱：初炉手作烘焙行 / 統一編號：91688632)</span>'},"['6ab537d5-e8d7-4738-9a06-14c240481e7d', '200d32b5-5f4b-4cdc-b951-c29cd890663c', '4b9a4d89-8ed7-4fa3-8268-40e59939c17a', 'ff4ac1af-f991-4d8b-93da-a4791407de06', 'd347fef2-ac45-4e9f-962f-708b4ebfcf9e', '21b8971d-e326-44f4-a3df-41247085cad7', 'ee543e30-8254-481a-9402-10a4a1b43fdb', 'c9f9e933-f63e-465b-a3d1-cebc56d42a99', 'a931a7f8-8596-4648-ac01-da2e7af3afb6', '27522ffe-5e31-4cdd-ba47-cebd572d210c', 'ab42e3e5-938b-44b7-8ef3-a1969505f877', '89dbb81c-9dca-4ef0-91d9-b5a312001d3a', '74383ab9-dee5-4ee7-b11e-7b4d59b7959e']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '21:30'}]"
薯哥玉米起司馬鈴薯,67f0ffc6-b0d1-552d-a6e3-4c08dc7f1ab1,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：G-200214732-00000-4 / 公司名稱：薯哥玉米起司馬鈴薯)</span>'},"['6a569a8b-32fe-4f61-95d3-d3996887997f', 'cf82a761-74d1-4a5d-82d6-cf38d1708a4a', 'eb59a1e8-bbdb-40eb-bb1e-da41bb468c0b', 'adeff57e-01ae-41b1-af48-a4652a657c15', '390a8fae-7829-4288-afab-21529a8e99d8']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '22:0'}]"
鬍鬚張 大直北安店,0a31db49-906e-4dab-a661-1c1b0eb7f704,{'text': '<span>[本店開立紙本發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：A-122721208-00031-6 / 公司名稱：鬍鬚張股份有限公司大直北安分公司 / 統一編號：25116936)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}]"
牽拖茶飲 美村旗艦店,10bd81a2-b6f9-5ef5-9aad-488a9ca1392a,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：牽拖餐飲企業社)</span>'},"['f17485a2-d030-4e5e-8c25-61d86fed1d10', '04663f17-f7e2-4b0e-aba7-ea5ec5432242', '2bcc2347-d276-406b-bcc9-6fb0723d4ab5', '5b8234db-abf3-4247-adf9-e9ad9d4d8b18', 'ad447e1b-40f0-449b-9627-714d356019ff']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:50', 'closes': '20:50'}]"
元信鍋燒丼飯炒麵早午餐,81fd9e04-9877-53d0-bbd0-6a0472fab3fb,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：G-200010000-00001-4 / 公司名稱：林記鍋燒麵 丼飯專賣店)</span>'},"['8a39df5b-38b8-42e8-a845-f3facb40f1e0', '41be042b-c663-4d1e-89e8-449bc7215c98']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:28', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '6:15', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '13:0'}]"
